project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-5,5,esm2,-85.9400733633292,-109.817064646464,1.72763592406338,standard,75-100 cm,85.9-109.8 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-5,5,fd,-75,-100,29.147793985800003,standard,75-100 cm,75-100 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-1,1,esm1,0,-12.6,33.60547490341,standard,0-10 cm,0-12.6 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-1,1,esm2,0,-12.522176381468901,34.194279184359,standard,0-10 cm,0-12.5 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-1,1,fd,0,-10,27.315936151237,standard,0-10 cm,0-10 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-2,2,esm1,-12.6,-34,52.5658835558061,standard,10-30 cm,12.6-34 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-2,2,esm2,-12.522176381468901,-33.8289867627389,53.1724516452118,standard,10-30 cm,12.5-33.8 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-2,2,fd,-10,-30,50.640033367199,standard,10-30 cm,10-30 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-3,3,esm1,-34,-55.8,37.3913889259619,standard,30-50 cm,34-55.8 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-3,3,esm2,-33.8289867627389,-56.2948298303247,41.263974040952,standard,30-50 cm,33.8-56.3 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-3,3,fd,-30,-50,41.076944703900004,standard,30-50 cm,30-50 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-4,4,esm1,-55.8,-84.2,22.1805623835735,standard,50-75 cm,55.8-84.2 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-4,4,esm2,-56.2948298303247,-85.7223794329281,26.3061211151946,standard,50-75 cm,56.3-85.7 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-4,4,fd,-50,-75,19.525142943285,standard,50-75 cm,50-75 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-5,5,esm1,-84.2,-112.6,22.1805623835743,standard,75-100 cm,84.2-112.6 cm
