dsp_pedon_id,dsp_plot_id,label_full,label,lu,till,trt,project,soil,site,pedon_x,pedon_y,map,mat,climate
REF-3,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.84465,43.746883,908.68896484375,6.83999967575073,cool_wet
REF-4,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.84395,43.746883,908.68896484375,6.83999967575073,cool_wet
REF-5,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.844333,43.7469,908.68896484375,6.83999967575073,cool_wet
REF-6,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.8436,43.74685,908.68896484375,6.83999967575073,cool_wet
REF-7,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.843,43.74685,908.68896484375,6.83999967575073,cool_wet
REF-8,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.84325,43.7469,908.68896484375,6.83999967575073,cool_wet
REF-9,REF,Ref - Native,Ref,RANGE,Perennial,Native rangeland,UnivOfMinnesota,Kenyon,Mower,-92.84265,43.746867,908.68896484375,6.83999967575073,cool_wet
IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM,Ref - Ref,Ref,FOREST,Perennial,Ref,Illinois,Drummer,Arboretum,-88.216396,40.0916401,1011.82995605469,11.0398998260498,cool_wet
IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM,Ref - Ref,Ref,FOREST,Perennial,Ref,Illinois,Drummer,Arboretum,-88.2161899,40.0918033,1011.82995605469,11.0398998260498,cool_wet
IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM,Ref - Ref,Ref,FOREST,Perennial,Ref,Illinois,Drummer,Arboretum,-88.2159005,40.0914285,1011.82995605469,11.0398998260498,cool_wet
IL-019-SW-RTHRML-001,IL-019-SW-RTHRML,SHM - NT,SHM,CROP,No-till,NT,Illinois,Drummer,Rothermel,-88.0238,39.9295,1007.33294677734,11.2299995422363,cool_wet
IL-019-SW-RTHRML-001A,IL-019-SW-RTHRML,SHM - NT,SHM,CROP,No-till,NT,Illinois,Drummer,Rothermel,-88.0238,39.9295,1007.33294677734,11.2299995422363,cool_wet
IL-019-SW-RTHRML-002,IL-019-SW-RTHRML,SHM - NT,SHM,CROP,No-till,NT,Illinois,Drummer,Rothermel,-88.0238,39.9295,1007.33294677734,11.2299995422363,cool_wet
IL-019-SW-RTHRML-003,IL-019-SW-RTHRML,SHM - NT,SHM,CROP,No-till,NT,Illinois,Drummer,Rothermel,-88.0275783,39.9254322,1007.60894775391,11.25,cool_wet
IL-019-SW-RTHRML-004,IL-019-SW-RTHRML,SHM - NT,SHM,CROP,No-till,NT,Illinois,Drummer,Rothermel,-88.0275783,39.9254322,1007.60894775391,11.25,cool_wet
IL-019-SW-RTHRML-004A,IL-019-SW-RTHRML,SHM - NT,SHM,CROP,No-till,NT,Illinois,Drummer,Rothermel,-88.027589,39.92541,1007.60894775391,11.25,cool_wet
IL-115-SW-ETAL-001,IL-115-SW-ETAL,BAU - Organic,BAU,CROP,Till,Organic,Illinois,Drummer,Etal,-88.745608,39.895068,992.936950683594,11.4399995803833,cool_wet
IL-115-SW-ETAL-001A,IL-115-SW-ETAL,BAU - Organic,BAU,CROP,Till,Organic,Illinois,Drummer,Etal,-88.745608,39.895068,992.936950683594,11.4399995803833,cool_wet
IL-115-SW-ETAL-002,IL-115-SW-ETAL,BAU - Organic,BAU,CROP,Till,Organic,Illinois,Drummer,Etal,-88.746645,39.895384,992.568969726562,11.460000038147,cool_wet
IL-115-SW-ETAL-003,IL-115-SW-ETAL,BAU - Organic,BAU,CROP,Till,Organic,Illinois,Drummer,Etal,-88.746587,39.90146,991.560974121094,11.5199995040894,cool_wet
IL-115-SW-WDFLD-001,IL-115-SW-WDFLD,BAU - Organic,BAU,CROP,Till,Organic,Illinois,Drummer,Woodfield,-88.798131,39.866062,990.943969726562,11.5599994659424,cool_wet
IL-115-SW-WDFLD-001A,IL-115-SW-WDFLD,BAU - Organic,BAU,CROP,Till,Organic,Illinois,Drummer,Woodfield,-88.798131,39.866062,990.943969726562,11.5599994659424,cool_wet
IL-115-SW-WDFLD-002,IL-115-SW-WDFLD,BAU - Organic,BAU,CROP,Till,Organic,Illinois,Drummer,Woodfield,-88.799917,39.865395,990.943969726562,11.5599994659424,cool_wet
IL-115-SW-WDFLD-003,IL-115-SW-WDFLD,BAU - Organic,BAU,CROP,Till,Organic,Illinois,Drummer,Woodfield,-88.798039,39.868482,990.943969726562,11.5599994659424,cool_wet
IL-147-SW-CRP-001,IL-147-SW-CRP,BAU - Conventional,BAU,CROP,Till,Conventional,Illinois,Drummer,Cripe,-88.743611,39.895694,992.936950683594,11.4399995803833,cool_wet
IL-147-SW-CRP-001A,IL-147-SW-CRP,BAU - Conventional,BAU,CROP,Till,Conventional,Illinois,Drummer,Cripe,-88.743611,39.895694,992.936950683594,11.4399995803833,cool_wet
IL-147-SW-CRP-002,IL-147-SW-CRP,BAU - Conventional,BAU,CROP,Till,Conventional,Illinois,Drummer,Cripe,-88.743611,39.896889,991.81396484375,11.5,cool_wet
IL-147-SW-CRP-003,IL-147-SW-CRP,BAU - Conventional,BAU,CROP,Till,Conventional,Illinois,Drummer,Cripe,-88.743333,39.898194,991.81396484375,11.5,cool_wet
IL-147-SW-TS-001,IL-147-SW-TS,BAU - Conventional,BAU,CROP,Till,Conventional,Illinois,Drummer,Taylor South,-88.700021,39.876683,997.159973144531,11.5299997329712,cool_wet
IL-147-SW-TS-002,IL-147-SW-TS,BAU - Conventional,BAU,CROP,Till,Conventional,Illinois,Drummer,Taylor South,-88.700776,39.878541,997.159973144531,11.5299997329712,cool_wet
IL-147-SW-TS-003,IL-147-SW-TS,BAU - Conventional,BAU,CROP,Till,Conventional,Illinois,Drummer,Taylor South,-88.705988,39.878261,996.758972167969,11.5299997329712,cool_wet
IL-147-SW-TS-003A,IL-147-SW-TS,BAU - Conventional,BAU,CROP,Till,Conventional,Illinois,Drummer,Taylor South,-88.705988,39.878261,996.758972167969,11.5299997329712,cool_wet
PaH2-1,PaH2,SHM - Hayland,SHM,GRASS,No-till,Hayland,UConn,Woodbridge,H2,-72.2346389,41.7541111,1248.73291015625,9.52999973297119,cool_wet
PaL1-1,PaL1,SHM - Lawn,SHM,GRASS,No-till,Lawn,UConn,Woodbridge,L1,-72.188333,41.7995278,1247.126953125,9.69999980926514,cool_wet
PaL1-2,PaL1,SHM - Lawn,SHM,GRASS,No-till,Lawn,UConn,Woodbridge,L1,-72.18838889,41.7995556,1247.126953125,9.69999980926514,cool_wet
PaL2-2,PaL2,SHM - Lawn,SHM,GRASS,No-till,Lawn,UConn,Canton,L2,-72.1895,41.80006,1247.126953125,9.69999980926514,cool_wet
PaM1-1,PaM1,Ref - Managed forest,Ref,FOREST,Perennial,Managed forest,UConn,Canton,M1,-72.23745,41.8184833,1246.21301269531,9.67999935150146,cool_wet
PaM2-1,PaM2,SHM - Managed forest,SHM,FOREST,Perennial,Managed forest,UConn,Woodbridge,M2,-72.25135,41.8207833,1245.57397460938,9.39999961853027,cool_wet
PaM2-2,PaM2,SHM - Managed forest,SHM,FOREST,Perennial,Managed forest,UConn,Woodbridge,M2,-72.2543056,41.821,1245.8369140625,9.38999938964844,cool_wet
PaT2-1,PaT2,BAU - Conv till silage corn,BAU,CROP,Till,Conv till silage corn,UConn,Woodbridge,T2,-72.2351944,41.7537778,1248.73291015625,9.52999973297119,cool_wet
PaU1-1,PaU1,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,UConn,Woodbridge,U1,-72.2388333,41.8184333,1246.03100585938,9.51000022888184,cool_wet
PaU1-2,PaU1,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,UConn,Woodbridge,U1,-72.238939,41.818491,1246.03100585938,9.51000022888184,cool_wet
PaU2-1,PaU2,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,UConn,Woodbridge,U2,-72.2532778,41.8216111,1246.14892578125,9.48999977111816,cool_wet
PaU2-2,PaU2,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,UConn,Woodbridge,U2,-72.25333,41.82161667,1246.14892578125,9.48999977111816,cool_wet
AR2-1,AR2,Ref - Reference,Ref,FOREST,Perennial,Reference,UTRGV,Hidalgo,UTRGV10,-98.203663,26.309166,568.583862304688,23.8899993896484,warm_dry
AR2-2,AR2,Ref - Reference,Ref,FOREST,Perennial,Reference,UTRGV,Hidalgo,UTRGV10,-98.20307,26.30907954,568.583862304688,23.8899993896484,warm_dry
AR2-3,AR2,Ref - Reference,Ref,FOREST,Perennial,Reference,UTRGV,Hidalgo,UTRGV10,-98.202272,26.30896,568.583862304688,23.8899993896484,warm_dry
AR3-1,AR3,Ref - Reference,Ref,FOREST,Perennial,Reference,UTRGV,Hidalgo,UTRGV11,-97.865571,26.425936,654.02197265625,23.6499996185303,warm_dry
AR3-2,AR3,Ref - Reference,Ref,FOREST,Perennial,Reference,UTRGV,Hidalgo,UTRGV11,-97.86555,26.42575,654.02197265625,23.6499996185303,warm_dry
AR3-3,AR3,Ref - Reference,Ref,FOREST,Perennial,Reference,UTRGV,Hidalgo,UTRGV11,-97.863987,26.425912,654.02197265625,23.6499996185303,warm_dry
AX1-1,AX1,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,UTRGV,Hidalgo,UTRGV1,-97.86129,26.37183,646.9169921875,23.6700000762939,warm_dry
AX1-2,AX1,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,UTRGV,Hidalgo,UTRGV1,-97.861285,26.376803,646.9169921875,23.6700000762939,warm_dry
AX1-3,AX1,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,UTRGV,Hidalgo,UTRGV1,-97.861396,26.381147,648.070007324219,23.6700000762939,warm_dry
AX2-1,AX2,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,UTRGV,Hidalgo,UTRGV2,-97.860439,26.372257,646.9169921875,23.6700000762939,warm_dry
AX2-2,AX2,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,UTRGV,Hidalgo,UTRGV2,-97.854799,26.372359,646.9169921875,23.6700000762939,warm_dry
AX2-3,AX2,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,UTRGV,Hidalgo,UTRGV2,-97.841816,26.372348,648.760986328125,23.6599998474121,warm_dry
