project,dsp_pedon_id,dsp_plot_id,label,trt,explanation,lu,till,soil,suborder,soil_sampled_name,pedon_x,pedon_y,map,mat
TexasA&MPt-2,NT-1-1,NT-1,SHM,no-till fallow after sorghum,no-till fallow after sorghum,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,NT-1-2,NT-1,SHM,no-till fallow after sorghum,no-till fallow after sorghum,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,NT-1-3,NT-1,SHM,no-till fallow after sorghum,no-till fallow after sorghum,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
WashingtonState,ASP2-1,ASP2,SHM,ASP2,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,ASP2-2,ASP2,SHM,ASP2,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,ASP2-3,ASP2,SHM,ASP2,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,BAU9-1,BAU9,BAU,BAU9,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,BAU9-2,BAU9,BAU,BAU9,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,BAU9-3,BAU9,BAU,BAU9,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,ASP10-1,ASP10,SHM,ASP10,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.4595977,46.78836813,489.878997802734,9.63000011444092
WashingtonState,ASP10-2,ASP10,SHM,ASP10,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.4595978,46.788368,489.878997802734,9.63000011444092
WashingtonState,ASP10-3,ASP10,SHM,ASP10,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.4595972,46.78836851,489.878997802734,9.63000011444092
WashingtonState,ASP6-1,ASP6,SHM,ASP6,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,ASP6-2,ASP6,SHM,ASP6,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,ASP6-3,ASP6,SHM,ASP6,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,BAU3-1,BAU3,BAU,BAU3,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.0822114,46.78188975,567.93701171875,8.61989974975586
WashingtonState,BAU3-2,BAU3,BAU,BAU3,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.4236809,46.74504916,493.412994384766,9.5398998260498
WashingtonState,BAU3-3,BAU3,BAU,BAU3,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.4236809,46.74504916,493.412994384766,9.5398998260498
WashingtonState,BAU8-1,BAU8,BAU,BAU8,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.4236809,46.74504916,493.412994384766,9.5398998260498
WashingtonState,BAU8-2,BAU8,BAU,BAU8,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.4236809,46.74504915,493.412994384766,9.5398998260498
WashingtonState,BAU8-3,BAU8,BAU,BAU8,BAU,CROP,Till,Palouse,Xerolls,Palouse,-117.4236808,46.74504922,493.412994384766,9.5398998260498
WashingtonState,PGL7-7a,PGL7,Ref,PGL7,PGL,GRASS,Perennial,Palouse,Xerolls,Palouse,-117.1998969,46.75739636,515.658996582031,8.73999977111816
WashingtonState,PGL7-7b,PGL7,Ref,PGL7,PGL,GRASS,Perennial,Palouse,Xerolls,Palouse,-117.1998969,46.75739636,515.658996582031,8.73999977111816
WashingtonState,PGL7-7c,PGL7,Ref,PGL7,PGL,GRASS,Perennial,Palouse,Xerolls,Palouse,-117.1998969,46.75739636,515.658996582031,8.73999977111816
WashingtonState,ASP9-1,ASP9,SHM,ASP9,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.2000596,46.75757137,515.658996582031,8.73999977111816
WashingtonState,ASP9-2,ASP9,SHM,ASP9,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.2000596,46.75757137,515.658996582031,8.73999977111816
WashingtonState,ASP9-3,ASP9,SHM,ASP9,ASP,CROP,No-till,Palouse,Xerolls,Palouse,-117.4236807,46.74504918,493.412994384766,9.5398998260498
WashingtonState,PGL9-1,PGL9,Ref,PGL9,PGL,GRASS,Perennial,Palouse,Xerolls,Palouse,-117.20006,46.75757146,515.658996582031,8.73999977111816
WashingtonState,PGL9-2,PGL9,Ref,PGL9,PGL,GRASS,Perennial,Palouse,Xerolls,Palouse,-117.1998969,46.75739636,515.658996582031,8.73999977111816
WashingtonState,PGL9-3,PGL9,Ref,PGL9,PGL,GRASS,Perennial,Palouse,Xerolls,Palouse,-117.1998969,46.75739636,515.658996582031,8.73999977111816
UnivOfMinnesota,CON-1,CON,BAU,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",CROP,Till,Readlyn,Udolls,Readlyn,-92.845294,43.74768,908.68896484375,6.83999967575073
UnivOfMinnesota,CON-2,CON,BAU,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",CROP,Till,Readlyn,Udolls,Marquis,-92.845601,43.747906,908.68896484375,6.83999967575073
UnivOfMinnesota,CON-3,CON,BAU,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",CROP,Till,Readlyn,Udolls,Marquis,-92.844985,43.747593,908.68896484375,6.83999967575073
