project,ref_stat,ref_data,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soil_mass_cum,soc_cum,soil_mass,soc,esm_depth,actual_depth
Illinois,mean,project,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-1,1,esm1,0,-5.2,534.4769985,12.484619535757,534.4769985,12.484619535757,0-5 cm,0-5.2 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-1,1,esm2,0,-5.28774840680182,540.267693133333,12.6709724751324,540.267693133333,12.6709724751324,0-5 cm,0-5.3 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-2,2,esm1,-5.2,-10.1,1280.80970878,27.557841487859,746.332710279999,15.073221952102,5-10 cm,5.2-10.1 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-2,2,esm2,-5.28774840680182,-10.1803957233314,1295.1535669,27.8524668270271,754.885873766667,15.1814943518947,5-10 cm,5.3-10.2 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-3,3,esm1,-10.1,-29.9,4387.56223116998,77.691474521386,3106.75252238998,50.1336330335271,10-30 cm,10.1-29.9 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-3,3,esm2,-10.1803957233314,-29.9298580120061,4392.41666656667,77.7743300611922,3097.26309966667,49.921863234165,10-30 cm,10.2-29.9 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-4,4,esm1,-29.9,-61.1,9103.25646831999,127.702077689154,4715.69423715001,50.0106031677681,30-60 cm,29.9-61.1 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-4,4,esm2,-29.9298580120061,-62.0013395095927,9115.32344960175,135.99829030412,4722.90678303509,58.223960242928,30-60 cm,29.9-62 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-1,1,esm1,0,-5,530.561857,13.512879935933,530.561857,13.512879935933,0-5 cm,0-5 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-1,1,esm2,0,-5.07831989547402,540.267693133333,13.7539186304572,540.267693133333,13.7539186304572,0-5 cm,0-5.1 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-2,2,esm1,-5,-10.3,1288.64491993,31.2469212996158,758.083062929999,17.7340413636828,5-10 cm,5-10.3 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-2,2,esm2,-5.07831989547402,-10.3430806495345,1295.1535669,31.5073568218114,754.885873766667,17.7534381913542,5-10 cm,5.1-10.3 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-3,3,esm1,-10.3,-30.4,4380.53780706,87.7404887137044,3091.89288713,56.4935674140886,10-30 cm,10.3-30.4 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-3,3,esm2,-10.3430806495345,-30.4980223792418,4392.41666656667,88.2036024541807,3097.26309966667,56.6962456323693,10-30 cm,10.3-30.5 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-4,4,esm1,-30.4,-59.7,9107.31523989006,130.02098539272,4726.77743283006,42.2804966790156,30-60 cm,30.4-59.7 cm
Illinois,mean,project,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-4,4,esm2,-30.4980223792418,-59.2412500230698,9115.32344960175,133.958951944335,4722.90678303509,45.7553494901547,30-60 cm,30.5-59.2 cm
